object_id,class,split,object_path
bathtub_0107,bathtub, test, bathtub/test/bathtub_0107.npy
bathtub_0108,bathtub, test, bathtub/test/bathtub_0108.npy
bathtub_0109,bathtub, test, bathtub/test/bathtub_0109.npy
bathtub_0110,bathtub, test, bathtub/test/bathtub_0110.npy
bathtub_0111,bathtub, test, bathtub/test/bathtub_0111.npy
bathtub_0112,bathtub, test, bathtub/test/bathtub_0112.npy
bathtub_0113,bathtub, test, bathtub/test/bathtub_0113.npy
bathtub_0114,bathtub, test, bathtub/test/bathtub_0114.npy
bathtub_0115,bathtub, test, bathtub/test/bathtub_0115.npy
bathtub_0116,bathtub, test, bathtub/test/bathtub_0116.npy
bathtub_0117,bathtub, test, bathtub/test/bathtub_0117.npy
bathtub_0118,bathtub, test, bathtub/test/bathtub_0118.npy
bathtub_0119,bathtub, test, bathtub/test/bathtub_0119.npy
bathtub_0120,bathtub, test, bathtub/test/bathtub_0120.npy
bathtub_0121,bathtub, test, bathtub/test/bathtub_0121.npy
bathtub_0122,bathtub, test, bathtub/test/bathtub_0122.npy
bathtub_0123,bathtub, test, bathtub/test/bathtub_0123.npy
bathtub_0124,bathtub, test, bathtub/test/bathtub_0124.npy
bathtub_0125,bathtub, test, bathtub/test/bathtub_0125.npy
bathtub_0126,bathtub, test, bathtub/test/bathtub_0126.npy
bathtub_0127,bathtub, test, bathtub/test/bathtub_0127.npy
bathtub_0128,bathtub, test, bathtub/test/bathtub_0128.npy
bathtub_0129,bathtub, test, bathtub/test/bathtub_0129.npy
bathtub_0130,bathtub, test, bathtub/test/bathtub_0130.npy
bathtub_0131,bathtub, test, bathtub/test/bathtub_0131.npy
bathtub_0132,bathtub, test, bathtub/test/bathtub_0132.npy
bathtub_0133,bathtub, test, bathtub/test/bathtub_0133.npy
bathtub_0134,bathtub, test, bathtub/test/bathtub_0134.npy
bathtub_0135,bathtub, test, bathtub/test/bathtub_0135.npy
bathtub_0136,bathtub, test, bathtub/test/bathtub_0136.npy
bathtub_0137,bathtub, test, bathtub/test/bathtub_0137.npy
bathtub_0138,bathtub, test, bathtub/test/bathtub_0138.npy
bathtub_0139,bathtub, test, bathtub/test/bathtub_0139.npy
bathtub_0140,bathtub, test, bathtub/test/bathtub_0140.npy
bathtub_0141,bathtub, test, bathtub/test/bathtub_0141.npy
bathtub_0142,bathtub, test, bathtub/test/bathtub_0142.npy
bathtub_0143,bathtub, test, bathtub/test/bathtub_0143.npy
bathtub_0144,bathtub, test, bathtub/test/bathtub_0144.npy
bathtub_0145,bathtub, test, bathtub/test/bathtub_0145.npy
bathtub_0146,bathtub, test, bathtub/test/bathtub_0146.npy
bathtub_0147,bathtub, test, bathtub/test/bathtub_0147.npy
bathtub_0148,bathtub, test, bathtub/test/bathtub_0148.npy
bathtub_0149,bathtub, test, bathtub/test/bathtub_0149.npy
bathtub_0150,bathtub, test, bathtub/test/bathtub_0150.npy
bathtub_0151,bathtub, test, bathtub/test/bathtub_0151.npy
bathtub_0152,bathtub, test, bathtub/test/bathtub_0152.npy
bathtub_0153,bathtub, test, bathtub/test/bathtub_0153.npy
bathtub_0154,bathtub, test, bathtub/test/bathtub_0154.npy
bathtub_0155,bathtub, test, bathtub/test/bathtub_0155.npy
bathtub_0156,bathtub, test, bathtub/test/bathtub_0156.npy
bathtub_0001,bathtub, train, bathtub/train/bathtub_0001.npy
bathtub_0002,bathtub, train, bathtub/train/bathtub_0002.npy
bathtub_0003,bathtub, train, bathtub/train/bathtub_0003.npy
bathtub_0004,bathtub, train, bathtub/train/bathtub_0004.npy
bathtub_0005,bathtub, train, bathtub/train/bathtub_0005.npy
bathtub_0006,bathtub, train, bathtub/train/bathtub_0006.npy
bathtub_0007,bathtub, train, bathtub/train/bathtub_0007.npy
bathtub_0008,bathtub, train, bathtub/train/bathtub_0008.npy
bathtub_0009,bathtub, train, bathtub/train/bathtub_0009.npy
bathtub_0010,bathtub, train, bathtub/train/bathtub_0010.npy
bathtub_0011,bathtub, train, bathtub/train/bathtub_0011.npy
bathtub_0012,bathtub, train, bathtub/train/bathtub_0012.npy
bathtub_0013,bathtub, train, bathtub/train/bathtub_0013.npy
bathtub_0014,bathtub, train, bathtub/train/bathtub_0014.npy
bathtub_0015,bathtub, train, bathtub/train/bathtub_0015.npy
bathtub_0016,bathtub, train, bathtub/train/bathtub_0016.npy
bathtub_0017,bathtub, train, bathtub/train/bathtub_0017.npy
bathtub_0018,bathtub, train, bathtub/train/bathtub_0018.npy
bathtub_0019,bathtub, train, bathtub/train/bathtub_0019.npy
bathtub_0020,bathtub, train, bathtub/train/bathtub_0020.npy
bathtub_0021,bathtub, train, bathtub/train/bathtub_0021.npy
bathtub_0022,bathtub, train, bathtub/train/bathtub_0022.npy
bathtub_0023,bathtub, train, bathtub/train/bathtub_0023.npy
bathtub_0024,bathtub, train, bathtub/train/bathtub_0024.npy
bathtub_0025,bathtub, train, bathtub/train/bathtub_0025.npy
bathtub_0026,bathtub, train, bathtub/train/bathtub_0026.npy
bathtub_0027,bathtub, train, bathtub/train/bathtub_0027.npy
bathtub_0028,bathtub, train, bathtub/train/bathtub_0028.npy
bathtub_0029,bathtub, train, bathtub/train/bathtub_0029.npy
bathtub_0030,bathtub, train, bathtub/train/bathtub_0030.npy
bathtub_0031,bathtub, train, bathtub/train/bathtub_0031.npy
bathtub_0032,bathtub, train, bathtub/train/bathtub_0032.npy
bathtub_0033,bathtub, train, bathtub/train/bathtub_0033.npy
bathtub_0034,bathtub, train, bathtub/train/bathtub_0034.npy
bathtub_0035,bathtub, train, bathtub/train/bathtub_0035.npy
bathtub_0036,bathtub, train, bathtub/train/bathtub_0036.npy
bathtub_0037,bathtub, train, bathtub/train/bathtub_0037.npy
bathtub_0038,bathtub, train, bathtub/train/bathtub_0038.npy
bathtub_0039,bathtub, train, bathtub/train/bathtub_0039.npy
bathtub_0040,bathtub, train, bathtub/train/bathtub_0040.npy
bathtub_0041,bathtub, train, bathtub/train/bathtub_0041.npy
bathtub_0042,bathtub, train, bathtub/train/bathtub_0042.npy
bathtub_0043,bathtub, train, bathtub/train/bathtub_0043.npy
bathtub_0044,bathtub, train, bathtub/train/bathtub_0044.npy
bathtub_0045,bathtub, train, bathtub/train/bathtub_0045.npy
bathtub_0046,bathtub, train, bathtub/train/bathtub_0046.npy
bathtub_0047,bathtub, train, bathtub/train/bathtub_0047.npy
bathtub_0048,bathtub, train, bathtub/train/bathtub_0048.npy
bathtub_0049,bathtub, train, bathtub/train/bathtub_0049.npy
bathtub_0050,bathtub, train, bathtub/train/bathtub_0050.npy
bathtub_0051,bathtub, train, bathtub/train/bathtub_0051.npy
bathtub_0052,bathtub, train, bathtub/train/bathtub_0052.npy
bathtub_0053,bathtub, train, bathtub/train/bathtub_0053.npy
bathtub_0054,bathtub, train, bathtub/train/bathtub_0054.npy
bathtub_0055,bathtub, train, bathtub/train/bathtub_0055.npy
bathtub_0056,bathtub, train, bathtub/train/bathtub_0056.npy
bathtub_0057,bathtub, train, bathtub/train/bathtub_0057.npy
bathtub_0058,bathtub, train, bathtub/train/bathtub_0058.npy
bathtub_0059,bathtub, train, bathtub/train/bathtub_0059.npy
bathtub_0060,bathtub, train, bathtub/train/bathtub_0060.npy
bathtub_0061,bathtub, train, bathtub/train/bathtub_0061.npy
bathtub_0062,bathtub, train, bathtub/train/bathtub_0062.npy
bathtub_0063,bathtub, train, bathtub/train/bathtub_0063.npy
bathtub_0064,bathtub, train, bathtub/train/bathtub_0064.npy
bathtub_0065,bathtub, train, bathtub/train/bathtub_0065.npy
bathtub_0066,bathtub, train, bathtub/train/bathtub_0066.npy
bathtub_0067,bathtub, train, bathtub/train/bathtub_0067.npy
bathtub_0068,bathtub, train, bathtub/train/bathtub_0068.npy
bathtub_0069,bathtub, train, bathtub/train/bathtub_0069.npy
bathtub_0070,bathtub, train, bathtub/train/bathtub_0070.npy
bathtub_0071,bathtub, train, bathtub/train/bathtub_0071.npy
bathtub_0072,bathtub, train, bathtub/train/bathtub_0072.npy
bathtub_0073,bathtub, train, bathtub/train/bathtub_0073.npy
bathtub_0074,bathtub, train, bathtub/train/bathtub_0074.npy
bathtub_0075,bathtub, train, bathtub/train/bathtub_0075.npy
bathtub_0076,bathtub, train, bathtub/train/bathtub_0076.npy
bathtub_0077,bathtub, train, bathtub/train/bathtub_0077.npy
bathtub_0078,bathtub, train, bathtub/train/bathtub_0078.npy
bathtub_0079,bathtub, train, bathtub/train/bathtub_0079.npy
bathtub_0080,bathtub, train, bathtub/train/bathtub_0080.npy
bathtub_0081,bathtub, train, bathtub/train/bathtub_0081.npy
bathtub_0082,bathtub, train, bathtub/train/bathtub_0082.npy
bathtub_0083,bathtub, train, bathtub/train/bathtub_0083.npy
bathtub_0084,bathtub, train, bathtub/train/bathtub_0084.npy
bathtub_0085,bathtub, train, bathtub/train/bathtub_0085.npy
bathtub_0086,bathtub, train, bathtub/train/bathtub_0086.npy
bathtub_0087,bathtub, train, bathtub/train/bathtub_0087.npy
bathtub_0088,bathtub, train, bathtub/train/bathtub_0088.npy
bathtub_0089,bathtub, train, bathtub/train/bathtub_0089.npy
bathtub_0090,bathtub, train, bathtub/train/bathtub_0090.npy
bathtub_0091,bathtub, train, bathtub/train/bathtub_0091.npy
bathtub_0092,bathtub, train, bathtub/train/bathtub_0092.npy
